"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","p.adj","otu","domain","phylum","class","order","family","genus","sp","highest","group","mean.N"
"334435",0.234025482665162,-2.02549930113026,2.10695849068887,0.801575432014658,0.370622758299733,0.705200969167569,0.733423327730828,"334435","Bacteria","Proteobacteria","Gammaproteobacteria","[Marinicellales]","[Marinicellaceae]",NA,NA,"999","Within.L",112.729559655346
"169282",0.0876318379951302,-2.43634943967867,2.48748106825874,0.798907586487871,0.371420184013094,0.705910589730029,0.734263395905404,"169282","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae",NA,NA,"999","Within.L",24.6269066858341
"562993",5.38151469242348,-0.72993235716616,0.803033297786823,0.795773549986279,0.372360020381194,0.706888942801285,0.735383029218226,"562993","Bacteria","Proteobacteria","Gammaproteobacteria","[Marinicellales]","[Marinicellaceae]",NA,NA,"999","Within.L",751.836942530626
"346941",0.292659084557032,-2.10684619674378,2.19581609916612,0.792535802918962,0.373334454161905,0.707124370468392,0.735831371616407,"346941","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae",NA,NA,"999","Within.L",176.017415326279
"810828",0.525954051708108,1.13499633999844,1.28582614545184,0.793394070268278,0.373075802338465,0.707124370468392,0.735831371616407,"810828","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,"999","Within.L",148.777669508582
"594019",0.0939856335637994,-2.56524883381688,2.61915087206041,0.789906115089622,0.374128515740465,0.70782220896063,0.736659047492976,"594019","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae",NA,NA,"999","Within.L",18.8293323146151
"818878",0.696501047044909,1.50787407666371,1.71921878223229,0.779187492494884,0.377389748684773,0.713180854616792,0.742338077083234,"818878","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae",NA,NA,"999","Within.L",207.163776457507
"4453271",2.24991110531797,1.00149174200945,1.15258662580546,0.769081529928144,0.380501338433535,0.71580738214363,0.74547973669217,"4453271","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae",NA,NA,"999","Within.L",203.924123109552
"739614",0.19863861641776,-2.14010101673166,2.25454262997076,0.773206086958396,0.379227047464503,0.71580738214363,0.745207641175256,"739614","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium",NA,"999","Within.L",64.9999109499955
"4483850",0.109598759873458,-2.40776065465337,2.50627415744257,0.77171095045415,0.379688276010485,0.71580738214363,0.745370105149197,"4483850","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfococcus",NA,"999","Within.L",69.581126663956
"4269868",0.107124270953017,-2.54772646043446,2.63419939443416,0.770353272365156,0.38010778688065,0.71580738214363,0.745450430645417,"4269868","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas",NA,"999","Within.L",23.5952951890433
"311213",0.0899757036914807,-2.87476033722415,2.93033906388655,0.767400551464547,0.381022415730681,0.715977714531212,0.745758585063331,"311213","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae",NA,NA,"999","Within.L",63.0547788250386
"688140",0.544309828140733,1.64761349298513,1.90260600846533,0.75716404454073,0.384217487371494,0.721166683407217,0.749776246416721,"688140","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Crocinitomix",NA,"999","Within.L",229.233589194139
"3390990",0.120094588738796,-2.27432399334201,2.40892601462066,0.755033461201606,0.384887271351919,0.721609393752245,0.750339640883098,"3390990","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae",NA,NA,"999","Within.L",54.6790246938217
"4358876",0.127754942786648,-2.39267269357556,2.52359557875822,0.753413426689661,0.385397666908157,0.721752612689488,0.750591499646055,"4358876","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","OM60",NA,NA,"999","Within.L",47.1672081487442
"114335",2.50004390641978,-0.966588888021496,1.08660354911941,0.750036543267584,0.386464661203746,0.722936705941316,0.751183531994251,"114335","Bacteria","Verrucomicrobia","Verruco-5","R76-B128",NA,NA,NA,"999","Within.L",436.808944685535
"109273",0.521035199164492,1.29298432164457,1.50898170435659,0.746408369553706,0.387615750100801,0.723462393285783,0.751936366451702,"109273","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae",NA,NA,"999","Within.L",50.4092237642987
"4321782",0.598889757352311,-1.1756320419245,1.31431228828651,0.746838737462326,0.38747895458376,0.723462393285783,0.751936366451702,"4321782","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae",NA,NA,"999","Within.L",138.261949783294
"1100718",0.704327540398978,-1.55256430218972,1.71769953190024,0.739574042592835,0.389797361624856,0.725101147943422,0.754051331065165,"1100718","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales",NA,NA,NA,"999","Within.L",253.221589090777
"253178",0.699826437142995,1.12501832699671,1.32121265720658,0.738200789316807,0.390237839692942,0.725101147943422,0.754051331065165,"253178","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae",NA,NA,"999","Within.L",68.4067065332585
"211658",0.0978424164080248,2.29971154711782,2.65545526520143,0.738848413095951,0.390030022340845,0.725101147943422,0.754051331065165,"211658","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA,"999","Within.L",13.8793136773996
"448778",2.49002636425371,1.22629251538531,1.43895484366363,0.738869732723629,0.390023183733517,0.725101147943422,0.754051331065165,"448778","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae",NA,NA,"999","Within.L",227.786922323142
"244161",0.876810017576637,-1.18566226279035,1.3454837972007,0.724140706371031,0.394789032068744,0.727453528901902,0.757314075325375,"244161","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Amphritea",NA,"999","Within.L",194.522498506424
"811685",0.13248700101282,-1.96518968523176,2.15236347876063,0.727364026920327,0.393738946590582,0.727453528901902,0.757314075325375,"811685","Bacteria","Proteobacteria","Gammaproteobacteria","[Marinicellales]","[Marinicellaceae]",NA,NA,"999","Within.L",35.7885068693167
"584938",0.156535055416008,-2.15638450477503,2.3337171854597,0.731319700382357,0.392455756435263,0.727453528901902,0.757314075325375,"584938","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales",NA,NA,NA,"999","Within.L",32.0158829087284
"80943",0.277390701030386,1.58093610719628,1.866015987711,0.725856902603709,0.394229432976996,0.727453528901902,0.757314075325375,"80943","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales",NA,NA,NA,"999","Within.L",65.4056572735864
"293440",0.267557886244577,-1.92988906446527,2.11756479463261,0.727150053260175,0.39380852981612,0.727453528901902,0.757314075325375,"293440","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Fluviicola",NA,"999","Within.L",92.1126895392489
"810704",0.165542738382923,1.91617775262377,2.24573590851887,0.729029779354875,0.393197855630466,0.727453528901902,0.757314075325375,"810704","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio",NA,"999","Within.L",29.6918793050988
"3603504",1.48468583011511,1.31936443435584,1.56272234668299,0.724368214511514,0.394714782905839,0.727453528901902,0.757314075325375,"3603504","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae",NA,NA,"999","Within.L",282.692203521611
"617833",0.356098935127701,1.69494038313516,2.00113094346948,0.723484419975534,0.395003329283474,0.727453528901902,0.757314075325375,"617833","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",NA,NA,"999","Within.L",226.033523429605
"632923",0.285538993843854,1.92854564166218,2.2796123500965,0.716549317729175,0.397278133387325,0.729154106626934,0.758752932850661,"632923","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Glaciecola",NA,"999","Within.L",99.5017926049097
"114234",0.14910404734253,1.89596424314528,2.23906545304434,0.718651298971082,0.396586664157919,0.729154106626934,0.758752932850661,"114234","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA,"999","Within.L",51.2317319112908
"1066717",30.3803327371476,0.758610074172934,0.903616417889512,0.717382408126923,0.397003871268499,0.729154106626934,0.758752932850661,"1066717","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales",NA,NA,NA,"999","Within.L",1814.97047030497
"1580717",0.302136857264916,-1.78637112195534,1.98902100870748,0.715328415440069,0.397680562062916,0.729154106626934,0.758752932850661,"1580717","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae",NA,NA,"999","Within.L",123.203655364024
"394758",3.9281617449148,0.948029174121311,1.13316301466057,0.713043062129486,0.398435436285891,0.729733623946516,0.759457283685304,"394758","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Winogradskyella","thalassocola","999","Within.L",408.404303836052
"823801",0.170708225780595,2.36063425058406,2.77925686663437,0.709287844191181,0.39968033177295,0.731208351747431,0.761093397737851,"823801","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae",NA,NA,"999","Within.L",72.2290756615321
"196857",0.0958052100080238,-2.40324109653408,2.61389151427272,0.707027464386954,0.400432391362285,0.731779194324703,0.761585973856129,"196857","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","OM60",NA,NA,"999","Within.L",49.7785078189529
