"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","p.adj","otu","domain","phylum","class","order","family","genus","sp","highest","group","mean.N"
"81529",0.111061232710732,0.66903623509526,2.27691337628067,0.0851108237757785,0.770487263060064,0.849805378072611,0.855812223474949,"81529","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae",NA,NA,"999","Within.R",7.72077215697876
"311404",0.399221214322791,0.485387604811006,1.66251182466357,0.0849599851281369,0.770685031800141,0.849805378072611,0.855812223474949,"311404","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiaceae",NA,NA,"999","Within.R",29.0028127332913
"1105593",0.670745233679754,0.268836482256416,0.923937617551132,0.0846217631709578,0.771129177469748,0.850109173398212,0.856138067153522,"1105593","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae",NA,NA,"999","Within.R",20.6292537197081
"4483078",0.36869168634025,-0.496267915057597,1.70273312021662,0.0843837075639726,0.771442364432665,0.850109173398212,0.856138067153522,"4483078","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,"999","Within.R",30.5095650554545
"272699",0.267746715697152,-0.433020740773865,1.48751846263489,0.0843189419909436,0.771527653168125,0.850109173398212,0.856138067153522,"272699","Bacteria","Acidobacteria","OS-K",NA,NA,NA,NA,"999","Within.R",9.23225274308958
"1108092",856.384401207538,0.178458135637995,0.614293875957732,0.0843702700603899,0.771460057145051,0.850109173398212,0.856138067153522,"1108092","Bacteria","Chloroflexi","Chloroflexi","Chloroflexales","Chloroflexaceae","Chloroflexus",NA,"999","Within.R",28518.1958059784
"573829",6.69260883498473,0.281261357141804,0.97080242293565,0.0839018663232309,0.772077746107507,0.850406504741644,0.856447450618903,"573829","Bacteria","[Thermi]","Deinococci","Thermales","Thermaceae","Meiothermus",NA,"999","Within.R",222.488175529639
"369958",0.837157695039137,-0.247736675788023,0.853821158528476,0.0839881819339325,0.771963780576312,0.850406504741644,0.856447450618903,"369958","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","[Amoebophilaceae]",NA,NA,"999","Within.R",21.0793323908641
"512016",0.071569210245306,0.747451204712491,2.54470015621729,0.082458059181505,0.773993553817084,0.852361981149679,0.858421798489561,"512016","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA,"999","Within.R",2.78265381030403
"317137",0.134557640201514,0.55523118734225,1.9396608700111,0.0815394857680189,0.775221887198673,0.85355980286806,0.85948217660622,"317137","Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA,"999","Within.R",5.27051198502195
"607278",16.3864191982141,-0.100837028531246,0.353662909899428,0.0812542920048145,0.775604774755661,0.853826478866698,0.859755714151553,"607278","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae",NA,NA,"999","Within.R",581.053146876027
"322202",9.38040210980321,-0.141474213578069,0.496538839562902,0.081097859431793,0.775815102285157,0.853903129446612,0.859784407692862,"322202","Bacteria","Chloroflexi","Anaerolineae","S0208",NA,NA,NA,"999","Within.R",312.319237854121
"646909",0.202251891418486,-0.457325592409622,1.60268835138328,0.0809313843935229,0.776039173177323,0.853994876158327,0.859784407692862,"646909","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","ZD0117",NA,"999","Within.R",9.96481215213871
"184819",0.376265747960163,-0.352064114036702,1.23727039612929,0.0806609663310383,0.776403680162307,0.854148706017528,0.859949345540874,"184819","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfococcus",NA,"999","Within.R",12.4744428124691
"984831",0.0964283954167395,-0.65772018550637,2.3863080493768,0.0806189016279859,0.776460440121717,0.854148706017528,0.859949345540874,"984831","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium",NA,"999","Within.R",11.7890706053823
"7619",0.16746005813715,-0.4284731555159,1.51169224899112,0.0805055823889234,0.776613426971934,0.854162176203818,0.859967937197614,"7619","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales",NA,NA,NA,"999","Within.R",6.24965162259378
"4367489",3.11970192719132,0.212555921824904,0.749647563655765,0.0803878423116657,0.776772505469716,0.8541823402239,0.859993266620337,"4367489","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales",NA,NA,NA,"999","Within.R",104.532170148396
"333342",1.31514831649932,-0.236813766821676,0.836592048187493,0.0799820940778773,0.777321677797445,0.854476591659607,0.860299574691159,"333342","Bacteria","Proteobacteria","Deltaproteobacteria","NB1-j","JTB38",NA,NA,"999","Within.R",50.2814465797198
"2835417",0.0723227401807741,0.774906744275946,2.68146184853945,0.0800177408200966,0.777273370428602,0.854476591659607,0.860299574691159,"2835417","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aquimarina",NA,"999","Within.R",5.90342230953486
