"","from","to"
"7473","15-methyl-3-hydroxy-hexa-decanoyl-ACP","H+"
"7474","15-methyl-3-hydroxy-hexa-decanoyl-ACP","15-methyl-3-oxo-hexa-decanoyl-ACP"
"7475","15-methyl-3-hydroxy-hexa-decanoyl-ACP","NADP"
"7476","H2O","ADP"
"7477","H2O","Phosphate"
"7478","H2O","H+"
"7479","H2O","Mg"
"7480","ATP","ADP"
"7481","ATP","Phosphate"
"7482","ATP","H+"
"7483","ATP","Mg"
"7484","Malonyl-acyl-carrierprotein-","CO2"
"7485","Malonyl-acyl-carrierprotein-","ACP"
"7486","Malonyl-acyl-carrierprotein-","6-methyl-3-oxo-octanoyl-ACP"
"7487","4-methyl-hexanoyl-ACP","CO2"
"7488","4-methyl-hexanoyl-ACP","ACP"
"7489","4-methyl-hexanoyl-ACP","6-methyl-3-oxo-octanoyl-ACP"
"7490","ATP","D-Fructose"
"7491","ATP","ADP"
"7492","ATP","H+"
"7493","ATP","D-fructose-6-phosphate"
"7494","D-Fructose","ATP"
"7495","D-Fructose","ADP"
"7496","D-Fructose","H+"
"7497","D-Fructose","D-fructose-6-phosphate"
"7498","ADP","ATP"
"7499","ADP","D-Fructose"
"7500","ADP","H+"
"7501","ADP","D-fructose-6-phosphate"
"7502","H+","ATP"
"7503","H+","D-Fructose"
"7504","H+","ADP"
"7505","H+","D-fructose-6-phosphate"
"7506","D-fructose-6-phosphate","ATP"
"7507","D-fructose-6-phosphate","D-Fructose"
"7508","D-fructose-6-phosphate","ADP"
"7509","D-fructose-6-phosphate","H+"
"7510","NADH","NAD"
"7511","NADH","Octanoyl-ACP"
"7512","H+","NAD"
"7513","H+","Octanoyl-ACP"
"7514","(2E)-Octenoyl-[acp]","NAD"
"7515","(2E)-Octenoyl-[acp]","Octanoyl-ACP"
"7516","NAD","6-Phospho-D-gluconate"
"7517","NAD","NADH"
"7518","NAD","CO2"
"7519","NAD","D-Ribulose5-phosphate"
"7520","6-Phospho-D-gluconate","NAD"
"7521","6-Phospho-D-gluconate","NADH"
"7522","6-Phospho-D-gluconate","CO2"
"7523","6-Phospho-D-gluconate","D-Ribulose5-phosphate"
"7524","NADH","NAD"
"7525","NADH","6-Phospho-D-gluconate"
"7526","NADH","CO2"
"7527","NADH","D-Ribulose5-phosphate"
"7528","CO2","NAD"
"7529","CO2","6-Phospho-D-gluconate"
"7530","CO2","NADH"
"7531","CO2","D-Ribulose5-phosphate"
"7532","D-Ribulose5-phosphate","NAD"
"7533","D-Ribulose5-phosphate","6-Phospho-D-gluconate"
"7534","D-Ribulose5-phosphate","NADH"
"7535","D-Ribulose5-phosphate","CO2"
"7536","H2O","Ureidoglycine"
"7537","H2O","NH3"
"7538","H2O","Ureidoglycolate"
"7539","Ureidoglycine","H2O"
"7540","Ureidoglycine","NH3"
"7541","Ureidoglycine","Ureidoglycolate"
"7542","NH3","H2O"
"7543","NH3","Ureidoglycine"
"7544","NH3","Ureidoglycolate"
"7545","Ureidoglycolate","H2O"
"7546","Ureidoglycolate","Ureidoglycine"
"7547","Ureidoglycolate","NH3"
"7548","H2O","NADP"
"7549","H2O","5-(2'-Formylethyl)-4,6-dihydroxypicolinate"
"7550","H2O","NADPH"
"7551","H2O","H+"
"7552","H2O","5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate"
"7553","NADP","H2O"
"7554","NADP","5-(2'-Formylethyl)-4,6-dihydroxypicolinate"
"7555","NADP","NADPH"
"7556","NADP","H+"
"7557","NADP","5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate"
"7558","5-(2'-Formylethyl)-4,6-dihydroxypicolinate","H2O"
"7559","5-(2'-Formylethyl)-4,6-dihydroxypicolinate","NADP"
"7560","5-(2'-Formylethyl)-4,6-dihydroxypicolinate","NADPH"
"7561","5-(2'-Formylethyl)-4,6-dihydroxypicolinate","H+"
"7562","5-(2'-Formylethyl)-4,6-dihydroxypicolinate","5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate"
"7563","NADPH","H2O"
"7564","NADPH","NADP"
"7565","NADPH","5-(2'-Formylethyl)-4,6-dihydroxypicolinate"
"7566","NADPH","H+"
"7567","NADPH","5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate"
"7568","H+","H2O"
"7569","H+","NADP"
"7570","H+","5-(2'-Formylethyl)-4,6-dihydroxypicolinate"
"7571","H+","NADPH"
"7572","H+","5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate"
"7573","5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate","H2O"
"7574","5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate","NADP"
"7575","5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate","5-(2'-Formylethyl)-4,6-dihydroxypicolinate"
"7576","5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate","NADPH"
"7577","5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate","H+"
"7578","CTP","N-Methylethanolamine phosphate"
"7579","CTP","PPi"
"7580","CTP","CDP-N-methylethanolamine"
"7581","N-Methylethanolamine phosphate","CTP"
"7582","N-Methylethanolamine phosphate","PPi"
"7583","N-Methylethanolamine phosphate","CDP-N-methylethanolamine"
"7584","PPi","CTP"
"7585","PPi","N-Methylethanolamine phosphate"
"7586","PPi","CDP-N-methylethanolamine"
"7587","CDP-N-methylethanolamine","CTP"
"7588","CDP-N-methylethanolamine","N-Methylethanolamine phosphate"
"7589","CDP-N-methylethanolamine","PPi"
"7590","ADP","Phosphate"
"7591","ADP","H+"
"7592","ADP","H2O"
"7593","ADP","ATP"
"7594","ADP","H+"
"7595","Phosphate","ADP"
"7596","Phosphate","H+"
"7597","Phosphate","H2O"
"7598","Phosphate","ATP"
"7599","Phosphate","H+"
"7600","H2O","ADP"
"7601","H2O","Phosphate"
"7602","H2O","H+"
"7603","H2O","ATP"
"7604","H2O","H+"
"7605","ATP","ADP"
"7606","ATP","Phosphate"
"7607","ATP","H+"
"7608","ATP","H2O"
"7609","ATP","H+"
"7610","H+","ADP"
"7611","H+","Phosphate"
"7612","H+","H2O"
"7613","H+","ATP"
"7614","H2O","1-Acyl-sn-glycero-3-phosphoethanolamine dodecanoyl"
"7615","H2O","H+"
"7616","H2O","Glycerophosphoethanolamine"
"7617","H2O","ddca"
"7618","1-Acyl-sn-glycero-3-phosphoethanolamine dodecanoyl","H2O"
"7619","1-Acyl-sn-glycero-3-phosphoethanolamine dodecanoyl","H+"
"7620","1-Acyl-sn-glycero-3-phosphoethanolamine dodecanoyl","Glycerophosphoethanolamine"
"7621","1-Acyl-sn-glycero-3-phosphoethanolamine dodecanoyl","ddca"
"7622","H+","H2O"
"7623","H+","1-Acyl-sn-glycero-3-phosphoethanolamine dodecanoyl"
"7624","H+","Glycerophosphoethanolamine"
"7625","H+","ddca"
"7626","Glycerophosphoethanolamine","H2O"
"7627","Glycerophosphoethanolamine","1-Acyl-sn-glycero-3-phosphoethanolamine dodecanoyl"
"7628","Glycerophosphoethanolamine","H+"
"7629","Glycerophosphoethanolamine","ddca"
"7630","ddca","H2O"
"7631","ddca","1-Acyl-sn-glycero-3-phosphoethanolamine dodecanoyl"
"7632","ddca","H+"
"7633","ddca","Glycerophosphoethanolamine"
"7634","3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA","Acetate"
"7635","3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA","7-Methyl-3-oxo-6-octenoyl-CoA"
"7636","Acetate","3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA"
"7637","Acetate","7-Methyl-3-oxo-6-octenoyl-CoA"
